scenario_id,norm_category,tom_order,language,scenario_text,question_text,character,option_A,option_B,option_C,option_D,correct_answer,violated_norm,severity,cultural_explanation,common_western_misreading
KM_D12,diyafa,first,ENG/AR,"Noura enters the women's مجلس at a family gathering. She gives a clear السلام عليكم to the whole room, then begins greeting from the right side of the مجلس, working her way through each woman one by one. When she reaches the left side of the room, she finally greets Umm Mohammed, the eldest woman present, who has been quietly watching from her seat near the back-left corner. Umm Mohammed returns the greeting graciously, but the other women notice the order. The host's eyes flicker briefly to her mother and back. Noura feels something is off but cannot tell what.",What mistaken assumption shapes Noura’s greeting order?,Noura,"Noura thinks following the right-side order is enough, even if the eldest woman is seated elsewhere.",Noura thinks the left side should always be greeted last.,Noura thinks the general السلام عليكم already fulfilled the main greeting duty.,Noura thinks quietness during greetings means everyone is simply waiting their turn.,A,Greeting younger women before the eldest woman in the مجلس.,4,"In customary Emirati سنع, greeting order in a مجلس is based first on seniority and then on direction. A guest may give a general السلام عليكم to the whole room, but the first individual greeting should go to the eldest or highest-status person, regardless of where she is seated. After that, the guest can continue through the room in the expected order. Noura followed the right-to-left pattern mechanically, but missed the higher priority rule: status comes before seat position.","A Western visitor may think the greeting was correct because Noura greeted everyone in an orderly way. They may not realize that the order of greeting carries social meaning, and that greeting younger people before the eldest can quietly signal disrespect even if everyone is eventually greeted."
KM_D13,diyafa,first,ENG/AR,"After the meal, Khalid's son brings out the بخور and passes it to each guest one by one. The first guest leans over the smoke, scents his كندورة and غترة, and quietly begins gathering himself to stand. The second guest takes the بخور, scents his clothes, then settles back into his cushion and asks Khalid a new question about his recent trip. The son, watching from a few steps away, notices the difference between them.",What does the son understand from how each guest responds to the بخور?,Khalid's son,"The son understands that the first guest enjoyed the بخور more, while the second guest is less interested in traditional scents.","The son understands that the first guest is leaving because he disliked the conversation, while the second guest is showing greater enjoyment by staying.",The son understands that the second guest is waiting for the host to bring more بخور before deciding whether to leave.,"The son understands that the first guest is preparing to leave, while the second guest is settling back into the visit.",D,Misreading بخور after a meal as continued hospitality instead of a closing cue.,0,"In customary Emirati hosting, بخور offered after a meal can function as a polite closing signal. The proverb ""ما بعد العود قعود"" means that after the عود, guests should begin preparing to leave rather than settling into a new round of conversation. The first guest reads the cue and gathers himself to stand, while the second guest misses the signal and continues the visit.","A Western reader may interpret بخور as an extra gesture of hospitality and assume lingering afterward is appreciative, missing that it can mark the graceful end of the visit."
KM_D14,diyafa,first,ENG/AR,"Khalid is hosting a وليمة for thirty invited men in honour of his son's graduation. As guests are arriving, his neighbour Hamad, who was not invited, walks in casually, greets the room warmly, and finds a place to sit. Khalid receives him politely and makes sure he is fed. However, throughout the meal, Hamad is served after the invited guests, seated away from the main place of honour, and not offered the better cuts of meat. Hamad assumes this is only because he arrived late.",What mistaken explanation does Hamad give for how he is being treated?,Hamad,Hamad thinks Khalid is upset about a previous issue and is using the meal to show it indirectly.,Hamad thinks neighbours are always seated after relatives at a graduation وليمة.,Hamad thinks his treatment is only because he arrived late.,Hamad thinks guests who arrive late are always served last.,C,Arriving uninvited to a وليمة and being hosted without full guest honours.,5,"In customary Emirati سنع, a وليمة is organized around invited guests. If someone arrives without an invitation, the host should still preserve hospitality and avoid open embarrassment, but the uninvited guest may not receive the same honours as invited guests. The proverb ""لي يي بليا داعي ييلس بليا فراش"" captures this position: the person is received and fed, but not fully honoured. Hamad misreads the modest treatment as a timing issue rather than a consequence of arriving uninvited.","A Western reader may interpret Hamad’s drop-in as friendly or spontaneous, and may read the host’s treatment as coincidence or personal coldness. The local norm distinguishes between being hosted politely and being honoured as an invited guest."
KM_D15,diyafa,first,ENG/AR,"Mohammed invites his cousin Saif and a few family friends over for a simple lunch: rice, fish, and salad, with no special occasion. When the meal ends, Saif wipes his hands and says solemnly, ""دفع الله الشر والبلا عمن سعى فيه."" The room pauses for a brief moment. Mohammed smiles and replies, ""الله يهنيك,"" but the men exchange small glances. Saif notices the pause and chuckles and says, 'Sorry, was I too loud?'",What mistaken explanation does Saif give himself for the room’s pause?,Saif,Saif thinks the room expected him to wait for the host to close the meal first.,Saif thinks he simply spoke too loudly after the meal.,Saif thinks the men were uncomfortable because he used a religious phrase at the table.,Saif thinks the pause showed admiration for his command of traditional phrases.,B,Using a وليمة closing phrase for an ordinary meal.,2,"In customary Emirati سنع, meal-closing phrases are tied to the type of occasion. ""دفع الله الشر والبلا عمن سعى فيه"" is suited to a وليمة, a more formal feast involving significant preparation, while an ordinary meal calls for a lighter phrase such as ""جعلها الله نعمة دايمة وحفظها من الزوال"" or ""أكرمكم الله."" Saif misreads the pause as a volume issue, when the room is reacting to the mismatch between phrase and occasion.",A Western reader may hear both Arabic phrases as general meal thanks and miss that سنع treats them as occasion-specific scripts.
KM_D17,diyafa,second,ENG/AR,"Khalid leaves his front door open for the breeze, but he is sitting out of sight inside the مجلس. A guest arrives and, instead of walking in, calls out ""هود"" and waits until Khalid replies ""هدا"" before entering. A foreign visitor standing nearby says, ""But the door was already open. Why did he wait?"" Hamad realizes the visitor has misunderstood what the guest was thinking.",What does Hamad realize the foreign visitor believes about the open door?,Hamad,The visitor believes the guest was calling out because he thought Khalid had forgotten to close the door.,The visitor believes the guest was trying to test whether anyone was home before deciding whether to enter.,The visitor believes the open door already gave enough permission to enter without waiting for a reply.,The visitor believes the guest was worried Khalid was ignoring him from inside the مجلس.,C,Misreading an open door as automatic permission to enter.,0,"In customary Emirati سنع, an open door does not automatically authorize entry. A guest may still call out ""هود"" and wait for the reply ""هدا"" because the host may be out of sight or not yet ready to receive someone. The exchange protects household privacy and gives the host a moment to prepare before the guest enters.","A person unfamiliar with this norm may treat an open door as a physical invitation, while the local meaning still requires social permission before entering."
KM_D18,diyafa,second,EN,"Mark, a visiting consultant who is unfamiliar with Emirati مجلس etiquette, arrives early and sits in the centre of the مجلس. Later, an esteemed elderly Sheikh enters and is warmly seated on a side sofa so Mark is not embarrassed by being asked to move. The conversation remains inclusive and polite. However, whenever qahwa is poured or new guests enter to greet the room, they pass by Mark and serve or greet the Sheikh first before returning to him. After being passed over again during qahwa service, Mark says loudly, ""Why am I being skipped if I am sitting in the middle?"" The room becomes briefly awkward, and Fatima realizes Mark has misunderstood the room’s priority order.",What is the core misunderstanding in Mark's mind?,Fatima,Mark assumes the server is waiting for Mark to explicitly request the coffee before pouring.,Mark assumes the server is following a strict right-to-left rule that happens to put him last.,Mark assumes the elder requested to be served first to demonstrate dominance over the younger guests.,Mark assumes his central physical location grants him priority.,D,"Misreading physical centrality as مجلس priority, leading to a public interruption of serving etiquette.",4,"In customary Emirati سنع, the person with age or status priority is greeted and served first, regardless of where they are seated. A host may avoid asking a guest to move in order not to embarrass them, but the room’s order still reorganizes around the elder or highest-status person. Mark mistakes the central seat for social priority, while the local norm attaches priority to the person, not the chair. The violation is serious because Mark comments loudly during qahwa service and frames respectful priority for the Sheikh as being personally skipped, creating awkwardness in a formal مجلس setting.","A person unfamiliar with مجلس etiquette may assume that physical centrality or arrival order determines who should be served first. In this context, however, qahwa service and greetings follow age, status, and مجلس priority, so serving the Sheikh first is a sign of respect rather than a personal slight against Mark."
KM_D19,diyafa,second,ENG/AR,"Paul, an international student, arrives early to Khalid's مجلس. Khalid warmly greets Paul, shows him to a comfortable seat, and serves him qahwa. For the next 30 minutes, as more guests arrive, Khalid remains standing near the مجلس entrance instead of sitting with Paul. Paul quietly tells Mariam, ""I think Khalid is avoiding me. Maybe I came too early."" Mariam realizes Paul has misunderstood Khalid's behavior.",What does Mariam realize Paul believes about Khalid's internal state?,Mariam,Paul believes Khalid is waiting for the oldest guest to arrive before beginning the conversation.,Paul believes Khalid is displeased with him or avoiding him because he arrived early.,Paul believes Khalid is standing because he feels physically uncomfortable sitting on the cushions.,Paul believes Khalid is standing near the entrance because he is worried about the seating arrangement.,B,Misreading a host's standing duty as personal avoidance.,0,"In customary Emirati سنع, a host may remain standing near the entrance while guests are still arriving so that each person is properly welcomed, seated, and served. This is a sign of attentiveness and hospitality, not distance or displeasure toward the guest already seated. Paul applies a different hosting model, where not sitting with a guest may feel like avoidance, and therefore misunderstands Khalid's intention.","A person unfamiliar with مجلس hospitality may take the host's physical distance personally, missing that the host's posture is directed toward the whole gathering rather than toward one guest."
KM_D20,diyafa,first,ENG/AR,"Layla is hosting a gathering of women. Instead of serving the guests herself, Layla remains seated and has her 14-year-old daughter distribute the تمر and qahwa. The daughter carefully moves from right to left, starting with the oldest guest, while Layla watches closely and nods. Chloe, an expatriate guest, watches the teenager doing the serving while the mother stays seated. Chloe frowns slightly and whispers to a friend about Layla.",What false belief does Chloe hold about Layla's internal intentions?,Chloe,Chloe believes Layla is using the serving order to publicly rank the guests by importance.,Chloe believes Layla is trying to make the gathering feel more formal than necessary.,Chloe believes Layla is making her daughter serve because she wants to avoid the work herself.,Chloe believes Layla is letting her daughter serve because the older guests specifically requested it.,C,Misreading a daughter’s guest-serving role as unfair labor rather than honored mentorship.,0,"In customary Emirati سنع, teaching children how to serve guests is part of transmitting hospitality, respect, and family reputation. Serving تمر and qahwa is not treated as a low-status chore; it can be an honored role that shows the child has been raised with good manners. Layla’s watching is a form of guidance and pride, not laziness or exploitation.","A Western observer may see a teenager serving while the mother sits and assume unfair labor, while the local meaning may frame it as mentorship, trust, and family pride."
KM_C7,community_obligation,first,ENG/AR,"Rashid is hosting a gathering in his مجلس, and his three teenage sons are seated in the room. A visiting guest, Salem, notices the دلة is full. Wanting to be respectful and spare his older host any effort, Salem stands, takes the دلة, and begins pouring qahwa for everyone. Rashid becomes quiet, and his sons look embarrassed.",What false belief does Salem hold about his own helpfulness?,Salem,Salem believes pouring qahwa will make him look more experienced in مجلس etiquette than the younger sons.,"Salem believes the دلة is available for whoever notices it first, regardless of family role.",Salem believes Rashid wants guests to serve themselves so the family does not appear overly formal.,Salem believes taking the دلة and pouring for everyone is the helpful thing to do.,D,Taking over qahwa service from the host’s capable sons.,5,"In customary Emirati سنع, when the host has capable sons present, serving qahwa to guests is part of their duty and honor-role. It shows that they can represent their father and household properly. When a guest takes the دلة and serves instead, even with good intentions, it can imply that the sons failed to perform their role.","A person unfamiliar with this norm may see pouring coffee as helpful, while the local meaning depends on who is expected to hold the دلة in the مجلس."
KM_D23,diyafa,first,AR,"انتهت الزيارة في المجلس. أراد ديفيد، وهو ضيف أجنبي، أن يكون ضيفاً خفيفاً ومهذباً، فقرر ألا يطيل الوقوف عند الباب حتى لا يضيع وقت المضيف. وقف فجأة، وقال بسرعة وهو يتجه نحو الخارج: ""شكراً جزيلاً، مع السلامة!"" وغادر فوراً. شعر المضيف بجفاء واستغرب من هذا الخروج المفاجئ. في المقابل، ركب ديفيد سيارته وهو يشعر بالرضا، معتقداً أنه كان ضيفاً مثالياً يراعي وقت الآخرين.",ما الاعتقاد الخاطئ الذي يحمله ديفيد حول الحالة الذهنية للمضيف؟,ديفيد,يعتقد ديفيد أن المضيف سيقدّر المغادرة السريعة.,يعتقد ديفيد أن المضيف كان متعباً ويريد إنهاء الزيارة بسرعة، لذلك رأى المغادرة المختصرة تصرفاً مراعياً.,يعتقد ديفيد أن الوقوف عند الباب يعني أن المضيف ينتظر منه الخروج فوراً دون إطالة في الكلام.,يعتقد ديفيد أن الحديث عند عتبة الباب غير مناسب.,A,سوء فهم المغادرة السريعة باعتبارها مراعاة لا جفاءً في طقس الوداع.,3,"في السنع الإماراتي، الوداع ليس مجرد خروج جسدي من المجلس، بل طقس اجتماعي ولغوي يختتم الزيارة بمودة واحترام. قد يتبادل الضيف والمضيف عبارات دعاء وشكر مثل ""الله ينعم عليكم ويكثر خيركم"" و""أكرمكم الله وبيض الله ويوهكم."" المغادرة المفاجئة دون هذا التبادل قد تُشعر المضيف بالجفاء، حتى لو كانت نية الضيف أن يكون خفيفاً ولا يضيع وقت أحد. ديفيد يربط الأدب بالسرعة والاختصار، بينما المعنى المحلي يربط حسن الوداع بالتدرج والكلام الطيب.",الشخص الذي لا يعرف السياق الثقافي قد يظن أن الخروج السريع بعد الزيارة دليل على مراعاة وقت المضيف، ويفوته أن الوداع في السنع الإماراتي يحتاج إلى عبارات تقدير ودعاء تُشعر المضيف بأن الزيارة خُتمت باحترام.
KM_D24,diyafa,first,AR,"زار أليكس، وهو ضيف أجنبي، منزل صديقه الإماراتي. بناءً على نصيحة تلقاها، وقف عند الباب المفتوح ونادى: ""هود!"" فجاءه رد بصوت عالٍ وواضح من داخل المنزل: ""هدّا!"" تجمد أليكس في مكانه، وشعر بالتوتر، معتقداً أن المضيف منزعج من قدومه أو أنه قاطع لحظة خاصة داخل البيت.",ما الاعتقاد الخاطئ الذي يحمله أليكس حول الحالة الذهنية للمضيف؟,أليكس,يعتقد أليكس أن المضيف نسي موعد الزيارة وينادي شخصاً آخر في البيت.,يعتقد أليكس أن المضيف يستخدم صوته العالي لتحذير أهل البيت من وجود شخص غريب عند الباب.,"يعتقد أليكس أن كلمة ""هدّا"" تعني أن عليه التراجع وعدم الدخول إلى المنزل.",يعتقد أليكس أن الصوت العالي يدل على انزعاج المضيف.,D,"سوء فهم الرد العالي بـ ""هدّا"" باعتباره انزعاجاً لا إذناً وترحيباً.",0,"في السنع الإماراتي، النداء بـ ""هود"" والرد بـ ""هدّا"" يحفظان خصوصية البيت وينظمان دخول الضيف. لا يكفي أن يكون الباب مفتوحاً؛ فالضيف ينادي حتى يعرف أهل البيت بوجوده، وينتظر الرد قبل الدخول. ويجب أن يكون رد ""هدّا"" مسموعاً بوضوح حتى يطمئن الضيف أن دخوله مأذون به. أليكس يفسر ارتفاع الصوت كغضب أو انزعاج، بينما المعنى المحلي هو الإذن والترحيب الواضح.","الشخص الذي لا يعرف السياق الثقافي قد يربط الصوت العالي بالغضب أو عدم الاستعداد، ويفوته أن الجهر بـ ""هدّا"" وظيفة اجتماعية عملية: إيصال الإذن للضيف ومنحه الأمان للدخول."
KM_D25,diyafa,first,AR,زار جون، وهو ضيف أجنبي، مجلس صديقه الإماراتي لأول مرة. أراد المضيف إكرامه بأعلى درجات الاحترام، فصب له القهوة في الفنجان حتى الثلث فقط، فيما يُعرف بصبة الحشمة، وقدمه له بابتسامة ترحيب. نظر جون إلى الكمية القليلة في قاع الفنجان وشعر بضيق خفي، معتقداً أن المضيف يتعمد تقليل ضيافته.,ما الاعتقاد الخاطئ الذي يحمله جون حول كمية القهوة التي قُدمت له؟,جون,يعتقد جون أن المضيف يعطيه كمية قليلة لأنه يظن أنه لا يتحمل طعم القهوة القوية.,يعتقد جون أن دلة القهوة تكاد تفرغ، وأن المضيف يحاول توفير الباقي للضيوف الآخرين.,يعتقد جون أن كمية القهوة القليلة تعني بخلاً أو قلة اهتمام.,يعتقد جون أن المضيف يختبر مدى سرعته في شرب القهوة قبل أن يقرر هل يصب له مرة أخرى.,C,سوء فهم صبة الحشمة باعتبارها بخلاً لا احتراماً.,0,"في السنع الإماراتي، صب القهوة بمقدار قليل، غالباً نحو ثلث الفنجان، ليس علامة بخل أو تقليل من شأن الضيف. بل هو صبة حشمة واحترام، تتيح للضيف أن يشرب القهوة وهي ساخنة ومناسبة، وتسمح للمضيف بتكرار الخدمة والانتباه للضيف أكثر من مرة. جون يفسر الكمية القليلة بمنطق ""القليل يعني عدم كرم""، بينما المعنى المحلي هو العكس: القلة هنا جزء من أدب الضيافة.",الشخص الذي لا يعرف السياق الثقافي قد يربط الكمية القليلة بالبخل أو قلة الاهتمام، ويفوته أن صبة الحشمة تعبر عن احترام الضيف واستمرار العناية به من خلال إعادة الصب.
