scenario_id,norm_category,tom_order,language,scenario_text,character,option_A,option_B,option_C,option_D,correct_answer,violated_norm,severity,cultural_explanation,common_western_misreading
KM_D11,diyafa,first,ENG/AR,When Khalid enters the مجلس he removes his نعال at the door enters with his right foot and says السلام عليكم to the whole room.,Khalid,Khalid is being overly religious,Khalid is correctly following the سنع of entering a مجلس: removing footwear entering with the right foot and greeting the whole room,Khalid is performing for the guests,Khalid is nervous and acting by habit,B,Removing footwear entering with the right foot and greeting the whole room with السلام عليكم are all required سنع when entering a مجلس.,4,These acts are not merely religious they are social norms. Entering the مجلس without removing footwear or failing to greet the whole room is considered قلة سنع in Emirati culture.,A Western visitor might keep their shoes on unless told and would only greet the people they know.
KM_D12,diyafa,first,ENG/AR,Noura enters the مجلس and goes first to the oldest woman greeting her warmly. She then proceeds from right to left saying يا هلا to each person.,Noura,Noura is following the correct سنع of entering a مجلس: greet the eldest first then proceed from right to left,Noura only knows the older woman,Noura is trying to avoid certain guests,Noura is awkward for not greeting everyone at once,C,The سنع of entering a مجلس requires greeting the eldest person first as a sign of respect then proceeding from right to left through the room.,5,This order is structured and intentional. Beginning with the eldest is an expression of respect for age and مقام. Greeting a younger person before an elder is قلة سنع in Emirati culture.,A Western visitor would typically greet whoever is nearest or makes eye contact first with no particular order.
KM_D13,diyafa,first,ENG/AR,After the meal Khalid's son brings out the بخور and passes it to each guest one by one. The guests lean over it to scent their clothes. When he reaches the last guest he says تفضلوا.,Son,The son wants to signal that the guests should leave,The son is showing off,The son is performing an unnecessary ritual,The son is correctly completing the سنع of the gathering: passing the بخور after a meal for guests to scent their clothing is a required part of hosting,D,Passing the بخور after a meal for guests to lean over and scent their clothes is a core part of Emirati سنع. The proverb ما بعد العود قعود signals the gathering is nearing its end.,4,The بخور ritual marks the transition from eating to departure. Guests who know the سنع lean in naturally. A guest who steps back or refuses the بخور is refusing a gesture of honour.,A foreign guest might step back from smoke not knowing that accepting the بخور is the correct and respectful response.
KM_D14,diyafa,first,ENG/AR,At the end of the visit the host gives the guest a box of dates and a bottle of عطر. The guest says لا لا ما يصير. The host insists saying البيت بيتكم. The guest accepts.,Host,The host is trying to impress the guest,The host is pressuring the guest to take something they do not want,The host is completing the سنع of farewell gifting. The guest's initial لا لا ما يصير is a ritual courtesy and both parties know the guest will accept,The host wants to get rid of extra gifts,A,Presenting a gift at farewell and insisting when the guest initially declines is part of the سنع cycle of giving and receiving.,3,The ritual refusal and insistence are both scripted acts. The guest says لا لا ما يصير to avoid appearing greedy. The host insists to complete their duty of generosity. Both know the guest will accept.,A Western guest might simply accept immediately or think the host is being pushy when they insist.
KM_D15,diyafa,first,ENG/AR,Mohammed's guest finishes his مائدة and says جعلها الله نعمة دايمة وحفظها من الزوال. He then adds دفع الله الشر والبلا عمن سعى فيه. Mohammed replies الله يهنيك.,Guest,The guest is reciting something he memorised,The guest is using unnecessarily religious language at a meal,The guest is using the correct سنع phrases after a meal to thank the host and the host replies with the expected سنع phrase,The guest is asking for more food,A,The phrases جعلها الله نعمة دايمة وحفظها من الزوال and دفع الله الشر والبلا عمن سعى فيه are the required سنع of the guest after eating. The reply الله يهنيك closes the exchange.,4,These phrases are not improvised. They are scripted سنع expressions with specific occasions. Knowing them and using them correctly marks a person as having good سنع. Omitting them feels incomplete.,A Western guest would say something like that was delicious thank you without knowing these specific phrases.
KM_D16,diyafa,second,ENG/AR,After two hours a guest begins to shift in his seat. The host immediately offers more قهوة and says أمر. The guest shakes his head gently. The host says هذي الزيارة مب محسوبة ونبغي زيارة غير هذي.,Host,The host is ignoring that the guest wants to leave,The host is reading the guest's restlessness and both offering more قهوة and saying هذي الزيارة مب محسوبة are graceful ways of acknowledging the visit while opening the farewell,The host is trying to keep the guest against his will,The host did not notice the signals,B,A good host reads restlessness and responds with the سنع phrase هذي الزيارة مب محسوبة meaning this visit does not count as a proper one inviting a future longer visit.,4,This phrase is from the book's سنع vocabulary. It is a gracious way to honour the guest's time while expressing genuine desire for another fuller visit. It opens the farewell without abruptness.,A Western host would either ask directly are you leaving or simply not notice the subtle signals.
KM_D17,diyafa,first,ENG/AR,A guest arrives at Khalid's open door. He calls out هود. He hears هدا and enters.,Guest,The guest is testing whether anyone is home,The guest is being unnecessarily cautious about an open door,The guest is correctly following the سنع of announcing himself before entering even through an open door,The guest is not sure he has the right house,A,Calling هود before entering any open door and waiting for the response هدا is established سنع for seeking permission to enter.,5,The سنع protects the household's privacy. Entering without calling out even through an open door violates the host's right to prepare for a guest. هود and هدا are the ritual exchange that opens the door properly.,A Western visitor would walk straight in through an open door seeing the open door as an invitation.
KM_D18,diyafa,first,ENG/AR,When Fatima entered the مجلس she saw that the seat in the centre was already occupied by another guest. The host immediately asked that guest to move and offered Fatima the central seat as she was the eldest.,Host,The host made a mistake when seating guests earlier,The host is being rude to the first guest,The host is correctly applying the سنع that the centre of the مجلس belongs to the person of highest age or مقام,The host prefers Fatima,A,The centre and head of the مجلس in Emirati سنع are reserved for the eldest or most senior person present. All others give way.,5,The seating hierarchy in the مجلس is a core expression of سنع. Allowing a junior person to occupy the centre when an elder enters is قلة سنع. The host is obligated to correct this.,A Western guest would sit in any available seat and find the host's correction surprising or even rude.
KM_D19,diyafa,first,ENG/AR,Khalid invited guests to his home. Before he sat he stood at the door of the مجلس to receive each guest personally. He did not sit until all guests were seated.,Khalid,Khalid does not feel like sitting down,Khalid is being unnecessarily formal by standing so long,Khalid is fulfilling the سنع of the host: receiving each guest personally at the door and not sitting before all guests are seated,Khalid wants to monitor who arrives,A,Standing at the door to receive guests personally and not sitting before the last guest is seated is from the سنع of the host in Emirati hospitality.,5,This signals to each guest that they are individually valued and welcomed. A host who sits while guests are still arriving is seen as inattentive and lacking in سنع.,A Western host would stand briefly to greet and then sit freely without thinking this has social meaning.
KM_D20,diyafa,first,ENG/AR,Layla's daughter aged 14 distributed التمر to the female guests from right to left starting with the oldest guest. Her mother watched and nodded.,Mother,The mother is using her daughter as a servant,The mother is teaching her daughter the سنع of serving guests: starting from the right and beginning with the eldest is how the سنع is transmitted to the next generation,The daughter asked to help,The mother is showing off her daughter,B,Teaching children to serve guests starting from the right and from the eldest is how Emirati families transmit سنع norms across generations.,5,Serving guests is an honour not a chore. The correct order reflects the values of respecting elders and following سنع. The daughter learning this is gaining a life skill.,A Western parent might not give their teenager detailed instructions about which direction to serve or whom to serve first.
KM_D21,diyafa,first,EN,اتصل سعيد بصديقه قبل الزيارة وسأل هل الوقت مناسب. قال الصديق تفضل لكن أعطني نص ساعة. انتظر سعيد ثم ذهب.,سعيد,سعيد يطبّق سنع الزيارة: الاتصال قبل الذهاب حتى مع المقربين لأنك لا تعرف ما يجري في البيت,سعيد يتحقق إذا كان هناك ضيوف آخرون,سعيد لا يثق بصديقه,سعيد متكلف مع صديق مقرب,C,الاتصال قبل أي زيارة بغض النظر عن القرب من أصول السنع الإماراتي. أنت لا تعرف ما يجري في البيت.,5,السنع يُلزمنا بالاتصال أولاً لأن المضيف قد يكون نائماً أو مريضاً أو البيت غير مستعد. الحضور دون إخبار يُحرج المضيف ويُخالف أصول السنع.,الشخص الأجنبي يرى الزيارة المفاجئة تعبيراً عن الألفة والصداقة.
KM_D22,diyafa,first,AR,دخل الضيف وسلّم على الجميع بعبارة الله حيّهم. ردّ أهل المجلس بعبارة حيّاك الله. ثم جلس في المكان الذي أشار إليه صاحب البيت.,الضيف والمضيف,يتبادلان كلاماً عادياً,يتبادلان عبارات السنع المتعارف عليها: الله حيّهم عند الدخول والرد حيّاك الله ثم جلوس الضيف في المكان الذي يُرشده إليه المضيف,المضيف يوجّه الضيف لأنه لا يعرف مجلسه,الضيف لا يعرف أين يجلس,B,الله حيّهم من عبارات السنع عند الدخول على المجلس والرد عليها حيّاك الله من الواجبات اللغوية في سنع الترحيب.,3,هذا تبادل لغوي مُهيكَل ومتعارف عليه. يُعبّر عن الترحيب والانتماء. الضيف الذي يدخل دون هذه العبارة يُشعر المجلس بجفاء.,الزائر الأجنبي قد يقول فقط مرحباً دون معرفة هذا التبادل المحدد.
KM_D23,diyafa,first,AR,في نهاية الزيارة قال الضيف الله ينعم عليكم ويكثر خيركم. ردّ صاحب البيت: أكرمكم الله وبيض الله ويوهكم.,الضيف,الضيف لم يستمتع بالزيارة,الضيف يُطيل كلام المغادرة,الضيف يستخدم عبارة السنع الصحيحة عند الوداع والمضيف يردّ بعبارة السنع المقابلة,الضيف يريد شيئاً قبل المغادرة,A,من سنع الوداع أن يقول الضيف الله ينعم عليكم ويكثر خيركم وأن يردّ المضيف بعبارة مناسبة مثل أكرمكم الله وبيض الله ويوهكم.,3,هذا التبادل في الوداع من أصول السنع اللغوي الإماراتي. إغفاله يُشعر طرفاً أن الآخر متسرع أو غير مبالٍ.,الزائر الأجنبي يكتفي بـ شكراً جزيلاً أو مع السلامة دون معرفة هذه العبارات.
KM_D24,diyafa,second,ENG/AR,وصل الضيف إلى باب مجلس مفتوح. نادى هود. سمع هدا فدخل. يعرف الضيف أنهم كانوا يستعدون له.,الضيف,الضيف لا يعرف معنى هدا,الضيف يظن أنهم لم يكونوا ينتظرونه,الضيف يدرك أن ردّهم بـ هدا يعني أنهم سمعوه وأذنوا له واستعدوا للاستقبال,الضيف غير متأكد أنه جاء في الوقت المناسب,A,هدا ردّ السنع على نداء هود. يعني أننا سمعناك ونحن مستعدون لاستقبالك. هذا تواصل اجتماعي كامل في كلمتين.,5,هود وهدا يحميان خصوصية المنزل ويعطيان الطرفين لحظة للاستعداد. هذا من أرقى أصول السنع في إدارة الزيارات.,الزائر الأجنبي يدخل من الباب المفتوح مباشرة دون نداء.
KM_D25,diyafa,first,AR,قدّم المضيف للضيف فنجان القهوة غير مثلوم. تفقّد سلامته قبل التقديم. قدّمه باليمنى والدلة في اليسرى وملأه إلى الثلث فقط.,المضيف,المضيف في عجلة,المضيف يُقدّم كمية صغيرة,المضيف يطبّق سنع تقديم القهوة بالكامل: فنجان سليم تذوّق مسبق تقديم باليمنى دلة باليسرى ملء إلى الثلث,المضيف لا يملك كافياً من القهوة,A,كل تفصيلة في سنع تقديم القهوة لها معنى: الفنجان السليم يُكرّم الضيف الثلث هو القدر الصحيح اليمنى للتكريم.,5,تقديم فنجان مثلوم انتقاص من مقام الضيف. ملء الفنجان بالكامل مبالغة. كل هذه التفاصيل مذكورة في أصول السنع الإماراتي.,الزائر الأجنبي يملأ الكوب بالكامل ولا يُلاحظ إذا كان مكسوراً.
KM_H01,hierarchy_wasta,first,EN,Layla is a junior employee. Her manager enters a full meeting room. Layla immediately stands and offers her seat to the manager.,Manager,The manager thinks Layla is leaving the meeting,The manager recognises that Layla is showing the سنع of deference to seniority by offering her seat,The manager thinks Layla is being disrespectful by standing suddenly,The manager thinks Layla wants attention,B,Standing and offering one's seat to a senior person is a core expression of hierarchical respect in Emirati culture and workplace سنع.,4,Hierarchical deference in Gulf culture is expressed through physical acts. Standing for a senior is expected and automatic for someone with good سنع.,A Western colleague might find this excessive or interpret Layla as wanting to leave the meeting.
KM_H02,hierarchy_wasta,first,EN,A young Emirati employee stays silent when his manager makes a decision he disagrees with in a meeting. Later he asks a senior colleague to privately raise his concern with the manager.,Senior colleague,The senior colleague thinks the employee did not understand the decision,The senior colleague thinks the employee is afraid,The senior colleague thinks the employee is lazy and does not care,The senior colleague understands he is being asked to be a respectful intermediary to avoid public challenge to the manager,D,Using an intermediary to raise concerns with a superior avoids public face-loss for the manager. This is standard سنع for navigating hierarchy in Gulf culture.,4,Direct public challenge to a manager is face-threatening in Emirati professional culture. The indirect route through a trusted senior preserves everyone's dignity while still raising the concern.,A Western colleague would see silence as passive acceptance and the indirect approach as manipulative.
KM_H03,hierarchy_wasta,first,EN,When an elder begins to speak at a family gathering the younger men immediately lower their voices stop their conversations and turn to face the elder.,Younger men,The younger men are demonstrating the سنع of respect for elders: lowering voices and giving full attention when an elder speaks,The younger men are waiting for a chance to speak about something they care about,The younger men are performing for others in the room,The younger men are afraid of the elder,C,Giving full silent attention when an elder speaks and not continuing side conversations is a core expression of hierarchical respect in Emirati سنع.,5,The elder's voice commands the room. This is not fear. It is a deeply held value of honouring age and experience. Continuing to talk during an elder's speech is unthinkable for someone with good سنع.,A Western observer might read this as the younger men being intimidated or dominated.
KM_H04,hierarchy_wasta,first,EN,Mansoor visits a Sheikh's مجلس. He enters greets the whole room then goes directly to the Sheikh shakes his hand then proceeds right to left greeting each person in order.,Mansoor,Mansoor wants to be noticed by everyone,Mansoor is stalling,Mansoor is making an unnecessary ceremony out of greeting,Mansoor is correctly following the سنع of entering a Sheikh's مجلس: general greeting then the Sheikh then right to left,D,The سنع of entering a Sheikh's مجلس requires a general greeting then going to the Sheikh first then greeting those on the right then the left in order.,5,This sequence is a precise expression of respect. Going to the Sheikh first acknowledges his سنع status. Proceeding right to left ensures no one is overlooked. Any deviation is قلة سنع.,A Western visitor would greet whoever they know or whoever is nearest without any particular order.
KM_H05,hierarchy_wasta,first,EN,A student arrives to class before the teacher and waits. When the teacher enters the student stands immediately.,Student,The student is leaving the class,The student is following the سنع of respecting the teacher: arriving early and standing upon the teacher's entrance,The student is surprised to see the teacher,The student wants to ask the teacher something,B,From the سنع of the student with their teacher: arriving before the teacher and standing when the teacher enters are expressions of the deep respect owed to knowledge and those who teach it.,4,The teacher in Emirati culture holds a high position. Standing upon their entrance is a physical expression of that regard. A student who remains seated when the teacher enters lacks سنع.,A Western student would remain seated and simply say hello or nod when the teacher arrives.
KM_H06,hierarchy_wasta,first,EN,Hanan disagrees with her father's decision about her career. She does not argue at the dinner table. Later she asks her older brother to speak to her father on her behalf.,Brother,Hanan is manipulating her brother,Hanan is passive and unable to speak for herself,Hanan is using the culturally correct indirect channel: raising concern through a respected family intermediary rather than direct confrontation,Hanan does not really care about her career,A,"Direct confrontation with a parent, especially at dinner in front of others, is face-threatening in Emirati family سنع. The indirect route through an older sibling is the correct and respectful strategy.",4,This indirect communication pattern is not weakness. It is a sophisticated social strategy that preserves everyone's dignity and is more likely to result in a positive outcome.,A Western observer might see this as Hanan being unable to advocate for herself.
KM_H07,hierarchy_wasta,first,EN,Omar wants to apply for a government job. His father mentions it to a senior official who is a family friend. The official says he will put in a good word. Omar gets an interview.,Official,The official thinks Omar bribed him,The official made a mistake,The official thinks Omar is the most qualified candidate,The official is fulfilling a social obligation to help the family of a friend which is part of وصل in Emirati social culture,D,Using personal connections to facilitate opportunities is part of the social fabric of Gulf culture. Helping the son of a friend is a social obligation not corruption within this cultural context.,4,وصل and الوساطة operate as a reciprocal social network. Helping someone close to you is expected and your family will be expected to reciprocate. This is a normal part of Emirati social life.,A Western observer might immediately label this nepotism or corruption.
KM_H08,hierarchy_wasta,first,EN,In a meeting a visitor wanted to leave the Sheikh's مجلس. He said أترخّص يا طويل العمر. The Sheikh replied مرحباً. The visitor then left with both hands raised in farewell.,Visitor,The visitor is in a hurry and just wants to leave,The visitor does not know the Sheikh well,The visitor is being unnecessarily formal about leaving,The visitor is correctly following the سنع of leaving a Sheikh's مجلس: using أترخّص يا طويل العمر and waiting for the Sheikh's reply before departing,D,The سنع of leaving a Sheikh's مجلس requires using the specific phrase أترخّص يا طويل العمر and waiting for the reply مرحباً before departing.,5,Leaving a Sheikh's مجلس without استئذان using this specific phrase is considered highly disrespectful. The raised hands on departure is the final gesture of farewell in سنع.,A Western visitor would simply say goodbye and stand to leave without this specific protocol.
KM_H09,hierarchy_wasta,first,ENG/AR,A junior Emirati employee addresses his older colleague as عمي in conversation even though they are not related.,Employee,The employee forgot his colleague's name,The employee is trying to flatter his colleague,The employee is being inappropriately familiar,The employee is using an honorary kinship term that expresses deference and warmth toward an older respected person as سنع encourages,D,"Terms like عمي and خالتي are used in Emirati culture for unrelated older people. Using them shows good upbringing (سنع) and warmth, not inappropriate familiarity.",3,The سنع teaches us to treat elders like family. Addressing an older colleague as عمي is a mark of good values and social intelligence in Emirati culture.,A Western observer would find it strange to use family terms for non-relatives and might read it as overly familiar.
KM_H10,hierarchy_wasta,first,ENG/AR,The student referred to his teacher by his full title saying الأستاذ rather than using his first name alone.,Student,The student is following the سنع of addressing a teacher: never using the name alone but always the appropriate title such as الأستاذ الدكتور or الشيخ,The student does not know the teacher's first name,The student wants to impress other students,The student is being unnecessarily formal,C,From the سنع of the student-teacher relationship: the teacher must be addressed by their title such as الأستاذ الدكتور or الشيخ never by name alone.,4,Addressing a teacher by first name alone is considered disrespectful in Emirati سنع. The title is part of the honour owed to knowledge and those who carry it.,A Western student would use the teacher's first name or a simple honorific like Mr and see nothing wrong with it.
KM_H11,hierarchy_wasta,first,ENG/AR,Khalifa wanted to voice a different opinion to the Sheikh in the مجلس. He said طويل العمر إن سمحت لي بكلمة then stated his view briefly and respectfully.,Khalifa,Khalifa wants to impress the Sheikh with politeness,Khalifa is afraid to speak his mind,Khalifa is correctly following the سنع of expressing a differing view in a Sheikh's مجلس: using استئذان before speaking,Khalifa does not trust his own opinion,A,From the سنع of speaking in a Sheikh's مجلس: استئذان using a phrase like طويل العمر إن سمحت لي بكلمة is required before offering a different view.,5,Direct disagreement in a Sheikh's مجلس is considered disrespectful. استئذان before speaking signals that you acknowledge the Sheikh's authority. This is the سنع of respectful dialogue.,A Western person might simply offer their opinion directly and see that as confidence rather than قلة سنع.
KM_H12,hierarchy_wasta,first,ENG/AR,An elder arrived late to a gathering. The younger men immediately made space in the best seat. One said تفضل يا عمي and gestured to the front.,Younger man,The younger man is fulfilling the سنع of priority for elders: offering the best seat and using تفضل يا عمي to invite them forward,The younger man does not want to sit next to who is beside him,The younger man wants to leave anyway,The younger man is giving up his seat because he is tired of sitting,C,From the سنع of respecting elders: always give priority to the eldest in seating using the appropriate welcoming phrase to invite them forward.,5,The سنع is clear that the eldest takes the best seat and is given priority in all social settings. The phrase تفضل يا عمي is the correct verbal act that accompanies the physical act of making way.,A Western observer would see seat arrangements as first-come first-served and not understand why anyone would give up a good seat.
KM_H13,hierarchy_wasta,first,ENG/AR,ناقش خالد مسألة مع أستاذه وكانت وجهته مختلفة. لم يجادله علناً بل قال: أستاذ لديّ سؤال واستأذن بهدوء.,خالد,خالد لا يريد أن يبدو ذكياً,خالد خائف من الأستاذ,خالد يطبّق سنع العلاقة بين الطالب والمعلم: الاستئذان قبل إبداء الرأي المخالف وعدم المجادلة العلنية,خالد لا يثق في نفسه,A,من سنع الطالب مع معلمه ألا يجادله علناً وأن يستأذن قبل إبداء وجهة نظر مخالفة.,5,المعلم في الثقافة الإماراتية يحتل مقاماً رفيعاً. المجادلة العلنية إهانة. السنع يُلزم الطالب بالاستئذان وإبداء رأيه بهدوء وإيجاز.,الطالب الأجنبي يعترض مباشرة ويعتبر ذلك مشاركة إيجابية وليس قلة سنع.
KM_H14,hierarchy_wasta,first,ENG/AR,دخل الضيف مجلس الشيخ فسلّم سلاماً عاماً ثم اتجه للشيخ وصافحه ثم سار على يمينه يُسلّم على الجالسين واحداً تلو الآخر.,الضيف,الضيف يستعرض نفسه,الضيف يطبّق سنع دخول مجلس الشيوخ: سلام عام ثم مصافحة الشيخ ثم السير على اليمين,الضيف يريد رؤية كل من في المجلس,الضيف يريد إيجاد صديق معين,B,من سنع دخول مجلس الشيوخ: السلام العام أولاً ثم المضي للشيخ مباشرة ثم السير على اليمين للتسليم على الجميع.,5,هذا الترتيب دقيق ومُحدد. البدء بالشيخ يُقرّ بمقامه. السير على اليمين يضمن التسليم على الجميع. أي خروج عنه يُعدّ قلة سنع.,الزائر الأجنبي يُسلّم على من يعرفه أو أقرب شخص دون ترتيب.
KM_H15,hierarchy_wasta,first,AR,في اجتماع دخل مدير كبير فقام جميع الموظفين الشباب من أماكنهم فوراً.,الموظفون الشباب,الموظفون لم يكونوا مرتاحين,الموظفون خائفون من المدير,الموظفون يطبّقون سنع احترام الكبير والمسؤول: القيام عند دخوله من أصول السنع الإماراتي,الموظفون يريدون الخروج,A,القيام للكبير أو صاحب المقام عند دخوله من أصول السنع الإماراتي.,5,القيام ليس خوفاً بل تعبير جسدي عن الاحترام. الجلوس عند دخول كبير السن أو المسؤول يُعدّ قلة أدب صريحة في الثقافة الإماراتية.,الشخص الأجنبي لا يفهم لماذا يقوم الجميع في نفس اللحظة.
KM_H16,hierarchy_wasta,second,AR,طالب يريد الطعن في درجته لكنه لا يذهب مباشرة للدكتور. يطلب من طالب أكبر يعرف الدكتور أن يُمهّد الأمر أولاً.,الطالب,الطالب خائف,الطالب يتلاعب بالوضع,الطالب يستخدم استراتيجية السنع الصحيحة: الوسيط الموثوق لفهم السياق قبل المواجهة المباشرة,الطالب لا يعرف الدكتور,A,استخدام وسيط لفهم السياق قبل المواجهة المباشرة استراتيجية سنع في التعامل مع من هو أعلى مقاماً.,3,الوسيط يُقلّل من خطر الرفض المباشر ويُعطي الطالب فرصة أفضل. هذا ذكاء اجتماعي لا تلاعب.,الطالب الأجنبي يذهب مباشرة لساعات الأستاذ دون تفكير في توقيت أو مزاج.
