scenario_id,model,condition,language,norm_category,tom_order,severity,violated_norm,predicted,correct,is_correct,raw_response,western_error
KM_D25,Random,zero_shot,AR,diyafa,1,0,سوء فهم صبة الحشمة باعتبارها بخلاً لا احتراماً.,B,C,False,,False
KM_H01,Random,zero_shot,EN,hierarchy,1,0,Misreading seat-giving to a senior as pressure or humiliation.,D,A,False,,False
KM_H02,Random,zero_shot,EN,hierarchy,1,4,"Misreading face-saving indirect communication with a senior as cowardice, manipulation, or lack of professional integrity.",C,D,False,,False
KM_H03,Random,zero_shot,EN,hierarchy,1,3,Misreading respectful silence for an elder as fear or intimidation.,C,A,False,,False
KM_H04,Random,zero_shot,EN,hierarchy,2,2,Misreading مجلس greeting order as disrespect toward guests near the door.,B,B,True,,False
KM_H08,Random,zero_shot,BILINGUAL,hierarchy,2,0,Misreading formal leave-taking from a Sheikh’s مجلس as subservience.,B,C,False,,False
KM_H09,Random,zero_shot,BILINGUAL,hierarchy,2,3,Misreading honorary kinship address as unprofessional familiarity.,C,C,True,,False
KM_H11,Random,zero_shot,EN,hierarchy,2,4,Misreading respectful indirect disagreement with a senior figure as hesitation or lack of confidence.,A,B,False,,False
KM_H12,Random,zero_shot,BILINGUAL,hierarchy,2,3,Misreading voluntary seat-giving to an elder as unfair displacement.,A,D,False,,False
KM_H14,Random,zero_shot,AR,hierarchy,1,4,سوء فهم التيامن في السلام باعتباره تجاهلاً شخصياً، مع قطع ترتيب السلام في مجلس رسمي.,D,B,False,,False
KM_H15,Random,zero_shot,AR,hierarchy,1,0,سوء فهم الوقوف للكبير أو صاحب المقام باعتباره خوفاً لا احتراماً.,A,A,True,,False
KM_H17,Random,zero_shot,AR,hierarchy,1,0,سوء فهم خفض الجناح للوالدين باعتباره إذلالاً لا براً واحتراماً.,C,D,False,,False
KM_H18,Random,zero_shot,AR,hierarchy,1,3,سوء فهم ضيق الوالد باعتباره مزاجاً شخصياً لا ردّ فعل على جلوس الابن أعلى منه.,C,A,False,,False
KM_H19,Random,zero_shot,AR,hierarchy,1,4,سوء فهم تصحيح الابن العلني لوالده باعتباره مساعدة لا إحراجاً.,C,A,False,,False
KM_H21,Random,zero_shot,BILINGUAL,diyafa,1,0,Misreading the host's sideways movement as nervousness instead of guest respect.,A,B,False,,True
KM_H22,Random,zero_shot,BILINGUAL,hierarchy,1,0,Misreading a brief hospital visit as lack of care.,D,B,False,,False
KM_C6,Random,zero_shot,BILINGUAL,community_obligation,1,3,Attending a وليمة without invitation while the host must still preserve hospitality.,A,C,False,,False
KM_G01,Random,zero_shot,EN,gender_interaction,1,2,Misreading coordinated mixed-gender professional etiquette as exclusion.,D,B,False,,False
KM_G03,Random,zero_shot,BILINGUAL,gender_interaction,1,3,Misreading modesty adjustments after an accidental boundary crossing in a gender-separated space as panic or fear.,A,A,True,,False
KM_G04,Random,zero_shot,EN,gender_interaction,2,4,Misreading a modesty-based handshake boundary as personal rejection.,C,A,False,,False
KM_G07,Random,zero_shot,BILINGUAL,gender_interaction,1,2,Misreading موايهة بالخشوم as unusual intimacy instead of a customary respectful male greeting.,C,D,False,,False
KM_G09,Random,zero_shot,BILINGUAL,gender_interaction,2,2,Misreading هود هود as creating fear instead of respecting gendered space.,B,D,False,,False
KM_G10,Random,zero_shot,EN,gender_interaction,1,0,Misreading a modesty-based photo boundary as a personal rejection.,A,A,True,,False
KM_G14,Random,zero_shot,AR,gender_interaction,1,2,سوء فهم البدء بالأكبر سناً باعتباره تجاهلاً للنساء الأقرب إلى الباب، مع وجود ضعف بسيط في التحية العامة للمجلس.,A,C,False,,False
KM_G15,Random,zero_shot,BILINGUAL,gender_interaction,2,0,سوء فهم الموايهة بالخشوم باعتبارها حميمية زائدة لا تحية رجالية مألوفة.,B,B,True,,False
KM_G16,Random,zero_shot,AR,gender_interaction,2,3,سوء فهم عدم مبادرة الرجل بالمصافحة باعتباره تعالياً أو رفضاً بدلاً من احترام حدود التفاعل بين الجنسين.,C,D,False,,False
KM_G17,Random,zero_shot,AR,gender_interaction,2,0,سوء فهم تعديل العباءات والحركة في فضاء نسائي باعتبارهما خوفاً شخصياً لا حفظاً للحدود.,A,C,False,,True
KM_G18,Random,zero_shot,AR,gender_interaction,2,0,سوء فهم الوقوف للكبير والسلام من مسافة باعتبارهما خوفاً لا احتراماً وحدوداً.,B,A,False,,False
KM_G20,Random,zero_shot,AR,gender_interaction,1,0,سوء فهم وضع اليد على الصدر باعتباره رفضاً شخصياً لا تحية محترمة.,A,C,False,,False
KM_G22,Random,zero_shot,AR,gender_interaction,2,2,سوء فهم توجيه السؤال للمجموعة باعتباره تجاهلاً لقائدة المشروع، مع وجود ضعف بسيط في توضيح احترام دورها القيادي.,D,A,False,,False
KM_G24,Random,zero_shot,AR,gender_interaction,2,0,سوء فهم التنحي عن صورة مختلطة باعتباره رفضاً شخصياً لا حدوداً متعلقة بالخصوصية.,C,C,True,,False
KM_G25,Random,zero_shot,AR,gender_interaction,2,5,سوء فهم إرسال الطفل لاستلام الطلب باعتباره كسلاً، مع انتهاك واضح لخصوصية البيت وحدود التعامل عند الباب.,D,D,True,,False
KM_R01,Random,zero_shot,EN,religious_observance,1,2,The colleague has lost track of the Ramadan context and reverted to the default social script of offering drinks at a meeting.,C,B,False,,False
KM_R02,Random,zero_shot,EN,religious_observance,1,3,Not recognizing late-afternoon fatigue during Ramadan when scheduling demanding work.,B,D,False,,False
KM_R03,Random,zero_shot,EN,religious_observance,2,3,Misreading fasting during Ramadan as a personal diet choice.,C,D,False,,False
KM_R04,Random,zero_shot,EN,religious_observance,1,2,Forgetting the Ramadan context when offering food or drink.,C,B,False,,False
KM_R05,Random,zero_shot,EN,religious_observance,1,4,Misreading brief Eid visits as rudeness rather than respectful Eid visiting rounds.,B,B,True,,False
KM_R06,Random,zero_shot,EN,religious_observance,2,4,Assuming that returning a clean but empty food dish will be read as polite.,C,C,True,,False
KM_R07,Random,zero_shot,EN,religious_observance,2,3,Misreading tactful religious avoidance as personal rejection.,A,C,False,,True
KM_R08,Random,zero_shot,EN,religious_observance,1,4,Iftar time is a sacred daily commitment in Ramadan. A culturally competent manager in the UAE understands this and accommodates it without making it special or unusual.,B,C,False,,False
KM_D26,Random,zero_shot,EN,diyafa,2,3,Misreading hosts giving guests privacy during a meal as avoidance or social distance.,B,A,False,,False
KM_R10,Random,zero_shot,BILINGUAL,religious_observance,1,5,Misreading Ramadan hospitality as showing off.,B,D,False,,False
KM_H24,Random,zero_shot,EN,hierarchy,2,3,Misreading an elder’s polite refusal of the front seat as literal permission rather than a respect ritual.,D,D,True,,False
KM_R13,Random,zero_shot,BILINGUAL,religious_observance,2,3,Misreading the expected سنع Eid reply as unnecessary formality.,D,D,True,,False
KM_C5,Random,zero_shot,BILINGUAL,community_obligation,2,0,Misreading condolence support as optional kindness rather than a collective community obligation.,C,B,False,,True
KM_C4,Random,zero_shot,BILINGUAL,community_obligation,2,4,Misreading neighbourly connection as intrusion rather than community obligation.,B,B,True,,False
KM_C10,Random,zero_shot,AR,community_obligation,1,5,سوء فهم الهدوء في مجلس العزاء باعتباره جفاءً لا احتراماً، مع مخالفة وقار العزاء بتعليق علني غير مناسب.,C,D,False,,False
KM_C9,Random,zero_shot,AR,community_obligation,2,0,سوء فهم قصر زيارة المريض باعتباره قلة اهتمام لا مراعاة لراحته.,A,D,False,,True
KM_R18,Random,zero_shot,AR,religious_observance,2,3,سوء فهم الرد على سلام الغائب باعتباره مبالغة لا سنعاً لغوياً واجتماعياً.,B,A,False,,False
KM_R19,Random,zero_shot,AR,religious_observance,2,0,"سوء فهم ردّ ""الله يكرمكم"" باعتباره بروداً لا قبولاً سنعياً للتهنئة.",A,C,False,,True
KM_R20,Random,zero_shot,AR,religious_observance,1,3,سوء فهم عبارات التهنئة بالسلامة والرد عليها باعتبارها مبالغة لفظية لا دعاءً ومودة.,C,A,False,,False
KM_C3,Random,zero_shot,BILINGUAL,community_obligation,2,5,Misreading الفزعة as optional volunteering rather than an immediate community duty.,D,D,True,,False
KM_R22,Random,zero_shot,AR,religious_observance,1,3,سوء فهم تبادل الطعام الرمضاني بين الجيران باعتباره حاجة مادية لا تكافلاً اجتماعياً ومودة رمضانية.,C,A,False,,False
KM_R23,Random,zero_shot,AR,religious_observance,1,0,سوء فهم تقبيل رأس الجدّ في العيد باعتباره مبالغة لا احتراماً.,A,A,True,,False
KM_R24,Random,zero_shot,AR,religious_observance,1,0,سوء فهم تهنئة رمضان وتبادل الطعام باعتباره مبالغة في الاحتفال.,B,B,True,,False
KM_C02,Random,zero_shot,BILINGUAL,community_obligation,2,4,Misreading neighbourly introduction as unnecessary intrusion rather than community obligation.,C,B,False,,False
KM_C1,Random,zero_shot,EN,community_obligation,2,5,Misreading neighbours' coordination of mourning meals as complaining about chores rather than fulfilling a serious community obligation.,B,B,True,,False
KM_C11,Random,zero_shot,BILINGUAL,community_obligation,2,0,Misreading الرفجة as pushy pressure rather than a binding guest request that the host honors.,D,A,False,,False
KM_D28,Random,zero_shot,EN,diyafa,2,5,Serving qahwa in a chipped cup to a respected elder.,D,B,False,,False
KM_C8,Mistral-7B,zero_shot,EN,community_obligation,1,4,Arriving unannounced during afternoon rest time.,A,C,False, A. Maryam is,True
KM_D02,Mistral-7B,zero_shot,EN,diyafa,1,0,Misreading standard Emirati guest reception as special personal treatment.,,D,False, Ahmed gets it wrong,False
KM_D27,Mistral-7B,zero_shot,EN,diyafa,2,4,Filling an elder’s qahwa cup too much and mistaking the reaction as a problem with the coffee.,A,A,True, A. Salem thinks,False
KM_D04,Mistral-7B,zero_shot,EN,diyafa,2,3,Misreading oud or dukhoon after the meal as continued hospitality instead of a polite closing cue.,C,C,True, C. The cousin thinks,False
KM_D05,Mistral-7B,zero_shot,EN,diyafa,1,0,Correctly reading the qahwa cup gestures for refill and refusal.,B,B,True, B. Saeed,False
KM_D06,Mistral-7B,zero_shot,EN,diyafa,2,5,Filling a guest's qahwa cup too full and mistaking the guest's silence for approval.,,C,False, Based on the information provided,False
KM_D07,Mistral-7B,zero_shot,EN,diyafa,2,3,Misreading the host's standing position after the meal cue as hesitation rather than formal waiting.,A,A,True, A. The cousin thinks,False
KM_D08,Mistral-7B,zero_shot,EN,diyafa,2,3,Misreading a polite farewell response as a literal invitation to continue the visit.,C,C,True, C. Khalid,False
KM_D09,Mistral-7B,zero_shot,EN,diyafa,2,3,"Misreading the ""hannahum / wa anta minhum"" exchange as a request for food.",A,C,False, A. The visitor believes,False
KM_D11,Mistral-7B,zero_shot,BILINGUAL,diyafa,1,5,Greeting a close friend before the eldest man in the مجلس.,A,B,False, A. He thought Ah,False
KM_D12,Mistral-7B,zero_shot,BILINGUAL,diyafa,1,4,Greeting younger women before the eldest woman in the مجلس.,A,A,True, A. Noura,False
KM_D13,Mistral-7B,zero_shot,BILINGUAL,diyafa,1,0,Misreading بخور after a meal as continued hospitality instead of a closing cue.,D,D,True, D. The son understands,False
KM_D14,Mistral-7B,zero_shot,BILINGUAL,diyafa,1,5,Arriving uninvited to a وليمة and being hosted without full guest honours.,C,C,True, C. Hamad thinks,False
KM_D15,Mistral-7B,zero_shot,BILINGUAL,diyafa,1,2,Using a وليمة closing phrase for an ordinary meal.,B,B,True, B. Saif thinks,False
KM_D17,Mistral-7B,zero_shot,BILINGUAL,diyafa,2,0,Misreading an open door as automatic permission to enter.,A,C,False, A. The visitor believes,False
KM_D18,Mistral-7B,zero_shot,EN,diyafa,2,4,"Misreading physical centrality as مجلس priority, leading to a public interruption of serving etiquette.",,D,False, Mark assumes the server is,False
KM_D19,Mistral-7B,zero_shot,BILINGUAL,diyafa,2,0,Misreading a host's standing duty as personal avoidance.,B,B,True, B. Paul believes K,False
KM_D20,Mistral-7B,zero_shot,BILINGUAL,diyafa,1,0,Misreading a daughter’s guest-serving role as unfair labor rather than honored mentorship.,C,C,True, C. Chloe believes,False
KM_C7,Mistral-7B,zero_shot,BILINGUAL,community_obligation,1,5,Taking over qahwa service from the host’s capable sons.,D,D,True, D. Salem believes,False
KM_D23,Mistral-7B,zero_shot,AR,diyafa,1,3,سوء فهم المغادرة السريعة باعتبارها مراعاة لا جفاءً في طقس الوداع.,A,A,True," A.

Ex",False
KM_D24,Mistral-7B,zero_shot,AR,diyafa,1,0,"سوء فهم الرد العالي بـ ""هدّا"" باعتباره انزعاجاً لا إذناً وترحيباً.",A,D,False," A.

Ex",False
KM_D25,Mistral-7B,zero_shot,AR,diyafa,1,0,سوء فهم صبة الحشمة باعتبارها بخلاً لا احتراماً.,C,C,True," C.

Ex",False
KM_H01,Mistral-7B,zero_shot,EN,hierarchy,1,0,Misreading seat-giving to a senior as pressure or humiliation.,A,A,True, A. Sarah believes Lay,False
KM_H02,Mistral-7B,zero_shot,EN,hierarchy,1,4,"Misreading face-saving indirect communication with a senior as cowardice, manipulation, or lack of professional integrity.",D,D,True, D. Liam believes,False
KM_H03,Mistral-7B,zero_shot,EN,hierarchy,1,3,Misreading respectful silence for an elder as fear or intimidation.,A,A,True, A. Tom believes the,False
KM_H04,Mistral-7B,zero_shot,EN,hierarchy,2,2,Misreading مجلس greeting order as disrespect toward guests near the door.,B,B,True, B. John believes the,False
KM_H08,Mistral-7B,zero_shot,BILINGUAL,hierarchy,2,0,Misreading formal leave-taking from a Sheikh’s مجلس as subservience.,C,C,True, C. James believes S,False
KM_H09,Mistral-7B,zero_shot,BILINGUAL,hierarchy,2,3,Misreading honorary kinship address as unprofessional familiarity.,C,C,True, C. David believes R,False
KM_H11,Mistral-7B,zero_shot,EN,hierarchy,2,4,Misreading respectful indirect disagreement with a senior figure as hesitation or lack of confidence.,A,B,False, A. Robert thinks K,False
KM_H12,Mistral-7B,zero_shot,BILINGUAL,hierarchy,2,3,Misreading voluntary seat-giving to an elder as unfair displacement.,D,D,True, D. Hamad real,False
KM_H14,Mistral-7B,zero_shot,AR,hierarchy,1,4,سوء فهم التيامن في السلام باعتباره تجاهلاً شخصياً، مع قطع ترتيب السلام في مجلس رسمي.,B,B,True," B.

Ex",False
KM_H15,Mistral-7B,zero_shot,AR,hierarchy,1,0,سوء فهم الوقوف للكبير أو صاحب المقام باعتباره خوفاً لا احتراماً.,A,A,True," A.

Ex",False
KM_H17,Mistral-7B,zero_shot,AR,hierarchy,1,0,سوء فهم خفض الجناح للوالدين باعتباره إذلالاً لا براً واحتراماً.,A,D,False," A.

Ex",False
KM_H18,Mistral-7B,zero_shot,AR,hierarchy,1,3,سوء فهم ضيق الوالد باعتباره مزاجاً شخصياً لا ردّ فعل على جلوس الابن أعلى منه.,C,A,False," C.

Ex",False
KM_H19,Mistral-7B,zero_shot,AR,hierarchy,1,4,سوء فهم تصحيح الابن العلني لوالده باعتباره مساعدة لا إحراجاً.,A,A,True, A. He thinks R,False
KM_H21,Mistral-7B,zero_shot,BILINGUAL,diyafa,1,0,Misreading the host's sideways movement as nervousness instead of guest respect.,,B,False, Based on the information provided,False
KM_H22,Mistral-7B,zero_shot,BILINGUAL,hierarchy,1,0,Misreading a brief hospital visit as lack of care.,B,B,True, B. The nurse thinks,False
KM_C6,Mistral-7B,zero_shot,BILINGUAL,community_obligation,1,3,Attending a وليمة without invitation while the host must still preserve hospitality.,C,C,True, C. Hamad priv,False
KM_G01,Mistral-7B,zero_shot,EN,gender_interaction,1,2,Misreading coordinated mixed-gender professional etiquette as exclusion.,A,B,False, A. Thomas believes S,True
KM_G03,Mistral-7B,zero_shot,BILINGUAL,gender_interaction,1,3,Misreading modesty adjustments after an accidental boundary crossing in a gender-separated space as panic or fear.,A,A,True, A. Sarah believes the,False
KM_G04,Mistral-7B,zero_shot,EN,gender_interaction,2,4,Misreading a modesty-based handshake boundary as personal rejection.,A,A,True, A. The visitor thinks,False
KM_G07,Mistral-7B,zero_shot,BILINGUAL,gender_interaction,1,2,Misreading موايهة بالخشوم as unusual intimacy instead of a customary respectful male greeting.,D,D,True, D. The tourist believes,False
KM_G09,Mistral-7B,zero_shot,BILINGUAL,gender_interaction,2,2,Misreading هود هود as creating fear instead of respecting gendered space.,A,D,False, A. Mariam real,True
KM_G10,Mistral-7B,zero_shot,EN,gender_interaction,1,0,Misreading a modesty-based photo boundary as a personal rejection.,A,A,True, A. He believes the,False
KM_G14,Mistral-7B,zero_shot,AR,gender_interaction,1,2,سوء فهم البدء بالأكبر سناً باعتباره تجاهلاً للنساء الأقرب إلى الباب، مع وجود ضعف بسيط في التحية العامة للمجلس.,C,C,True," C.

Ex",False
KM_G15,Mistral-7B,zero_shot,BILINGUAL,gender_interaction,2,0,سوء فهم الموايهة بالخشوم باعتبارها حميمية زائدة لا تحية رجالية مألوفة.,A,B,False," A.

Ex",False
KM_G16,Mistral-7B,zero_shot,AR,gender_interaction,2,3,سوء فهم عدم مبادرة الرجل بالمصافحة باعتباره تعالياً أو رفضاً بدلاً من احترام حدود التفاعل بين الجنسين.,D,D,True," D.

Ex",False
KM_G17,Mistral-7B,zero_shot,AR,gender_interaction,2,0,سوء فهم تعديل العباءات والحركة في فضاء نسائي باعتبارهما خوفاً شخصياً لا حفظاً للحدود.,C,C,True," C.

Ex",False
KM_G18,Mistral-7B,zero_shot,AR,gender_interaction,2,0,سوء فهم الوقوف للكبير والسلام من مسافة باعتبارهما خوفاً لا احتراماً وحدوداً.,A,A,True," A.

Ex",False
KM_G20,Mistral-7B,zero_shot,AR,gender_interaction,1,0,سوء فهم وضع اليد على الصدر باعتباره رفضاً شخصياً لا تحية محترمة.,C,C,True," C.

Ex",False
KM_G22,Mistral-7B,zero_shot,AR,gender_interaction,2,2,سوء فهم توجيه السؤال للمجموعة باعتباره تجاهلاً لقائدة المشروع، مع وجود ضعف بسيط في توضيح احترام دورها القيادي.,A,A,True," A.

Ex",False
KM_G24,Mistral-7B,zero_shot,AR,gender_interaction,2,0,سوء فهم التنحي عن صورة مختلطة باعتباره رفضاً شخصياً لا حدوداً متعلقة بالخصوصية.,A,C,False," A.

Ex",True
KM_G25,Mistral-7B,zero_shot,AR,gender_interaction,2,5,سوء فهم إرسال الطفل لاستلام الطلب باعتباره كسلاً، مع انتهاك واضح لخصوصية البيت وحدود التعامل عند الباب.,A,D,False," A.

Ex",True
KM_R01,Mistral-7B,zero_shot,EN,religious_observance,1,2,The colleague has lost track of the Ramadan context and reverted to the default social script of offering drinks at a meeting.,A,B,False, A. The colleague,True
KM_R02,Mistral-7B,zero_shot,EN,religious_observance,1,3,Not recognizing late-afternoon fatigue during Ramadan when scheduling demanding work.,A,D,False, A. The manager assumes,True
KM_R03,Mistral-7B,zero_shot,EN,religious_observance,2,3,Misreading fasting during Ramadan as a personal diet choice.,D,D,True, D. Aisha real,False
KM_R04,Mistral-7B,zero_shot,EN,religious_observance,1,2,Forgetting the Ramadan context when offering food or drink.,B,B,True, B. The colleague,False
KM_R05,Mistral-7B,zero_shot,EN,religious_observance,1,4,Misreading brief Eid visits as rudeness rather than respectful Eid visiting rounds.,B,B,True, B. Peter thinks K,False
KM_R06,Mistral-7B,zero_shot,EN,religious_observance,2,4,Assuming that returning a clean but empty food dish will be read as polite.,A,C,False, A. Sarah assumed the,False
KM_R07,Mistral-7B,zero_shot,EN,religious_observance,2,3,Misreading tactful religious avoidance as personal rejection.,C,C,True, C. The first colle,False
KM_R08,Mistral-7B,zero_shot,EN,religious_observance,1,4,Iftar time is a sacred daily commitment in Ramadan. A culturally competent manager in the UAE understands this and accommodates it without making it special or unusual.,A,C,False, A. The manager believes,False
KM_D26,Mistral-7B,zero_shot,EN,diyafa,2,3,Misreading hosts giving guests privacy during a meal as avoidance or social distance.,A,A,True, A. The guest thinks,False
KM_R10,Mistral-7B,zero_shot,BILINGUAL,religious_observance,1,5,Misreading Ramadan hospitality as showing off.,D,D,True, D. The guest believes,False
KM_H24,Mistral-7B,zero_shot,EN,hierarchy,2,3,Misreading an elder’s polite refusal of the front seat as literal permission rather than a respect ritual.,C,D,False, C. Her brother thinks,False
KM_R13,Mistral-7B,zero_shot,BILINGUAL,religious_observance,2,3,Misreading the expected سنع Eid reply as unnecessary formality.,A,D,False, A. The father real,False
KM_C5,Mistral-7B,zero_shot,BILINGUAL,community_obligation,2,0,Misreading condolence support as optional kindness rather than a collective community obligation.,B,B,True, B. Daniel believes attending,False
KM_C4,Mistral-7B,zero_shot,BILINGUAL,community_obligation,2,4,Misreading neighbourly connection as intrusion rather than community obligation.,B,B,True, B. Omar believes,False
KM_C10,Mistral-7B,zero_shot,AR,community_obligation,1,5,سوء فهم الهدوء في مجلس العزاء باعتباره جفاءً لا احتراماً، مع مخالفة وقار العزاء بتعليق علني غير مناسب.,A,D,False," A.

Ex",True
KM_C9,Mistral-7B,zero_shot,AR,community_obligation,2,0,سوء فهم قصر زيارة المريض باعتباره قلة اهتمام لا مراعاة لراحته.,A,D,False," A.

Ex",True
KM_R18,Mistral-7B,zero_shot,AR,religious_observance,2,3,سوء فهم الرد على سلام الغائب باعتباره مبالغة لا سنعاً لغوياً واجتماعياً.,A,A,True, A. The errone,False
KM_R19,Mistral-7B,zero_shot,AR,religious_observance,2,0,"سوء فهم ردّ ""الله يكرمكم"" باعتباره بروداً لا قبولاً سنعياً للتهنئة.",A,C,False," A.

Ex",True
KM_R20,Mistral-7B,zero_shot,AR,religious_observance,1,3,سوء فهم عبارات التهنئة بالسلامة والرد عليها باعتبارها مبالغة لفظية لا دعاءً ومودة.,A,A,True, A. The visitor incorrect,False
KM_C3,Mistral-7B,zero_shot,BILINGUAL,community_obligation,2,5,Misreading الفزعة as optional volunteering rather than an immediate community duty.,D,D,True, D. Ali believes the,False
KM_R22,Mistral-7B,zero_shot,AR,religious_observance,1,3,سوء فهم تبادل الطعام الرمضاني بين الجيران باعتباره حاجة مادية لا تكافلاً اجتماعياً ومودة رمضانية.,A,A,True, A. The visitor incorrect,False
KM_R23,Mistral-7B,zero_shot,AR,religious_observance,1,0,سوء فهم تقبيل رأس الجدّ في العيد باعتباره مبالغة لا احتراماً.,A,A,True, A. The child mistaken,False
KM_R24,Mistral-7B,zero_shot,AR,religious_observance,1,0,سوء فهم تهنئة رمضان وتبادل الطعام باعتباره مبالغة في الاحتفال.,A,B,False, A. He mistakenly,False
KM_C02,Mistral-7B,zero_shot,BILINGUAL,community_obligation,2,4,Misreading neighbourly introduction as unnecessary intrusion rather than community obligation.,B,B,True, B. Omar believes,False
KM_C1,Mistral-7B,zero_shot,EN,community_obligation,2,5,Misreading neighbours' coordination of mourning meals as complaining about chores rather than fulfilling a serious community obligation.,D,B,False, D. He believes the,False
KM_C11,Mistral-7B,zero_shot,BILINGUAL,community_obligation,2,0,Misreading الرفجة as pushy pressure rather than a binding guest request that the host honors.,A,A,True, A. Ali believes K,False
KM_D28,Mistral-7B,zero_shot,EN,diyafa,2,5,Serving qahwa in a chipped cup to a respected elder.,B,B,True, B. Khalid,False
KM_C8,Gemini,zero_shot,EN,community_obligation,1,4,Arriving unannounced during afternoon rest time.,C,C,True,C,False
KM_D02,Gemini,zero_shot,EN,diyafa,1,0,Misreading standard Emirati guest reception as special personal treatment.,D,D,True,D,False
KM_D27,Gemini,zero_shot,EN,diyafa,2,4,Filling an elder’s qahwa cup too much and mistaking the reaction as a problem with the coffee.,A,A,True,A,False
KM_D04,Gemini,zero_shot,EN,diyafa,2,3,Misreading oud or dukhoon after the meal as continued hospitality instead of a polite closing cue.,C,C,True,C,False
KM_D05,Gemini,zero_shot,EN,diyafa,1,0,Correctly reading the qahwa cup gestures for refill and refusal.,B,B,True,B,False
KM_D06,Gemini,zero_shot,EN,diyafa,2,5,Filling a guest's qahwa cup too full and mistaking the guest's silence for approval.,C,C,True,C,False
KM_D07,Gemini,zero_shot,EN,diyafa,2,3,Misreading the host's standing position after the meal cue as hesitation rather than formal waiting.,C,A,False,C,False
KM_D08,Gemini,zero_shot,EN,diyafa,2,3,Misreading a polite farewell response as a literal invitation to continue the visit.,C,C,True,C,False
KM_D09,Gemini,zero_shot,EN,diyafa,2,3,"Misreading the ""hannahum / wa anta minhum"" exchange as a request for food.",C,C,True,C,False
KM_D11,Gemini,zero_shot,BILINGUAL,diyafa,1,5,Greeting a close friend before the eldest man in the مجلس.,A,B,False,A,False
KM_D12,Gemini,zero_shot,BILINGUAL,diyafa,1,4,Greeting younger women before the eldest woman in the مجلس.,A,A,True,A,False
KM_D13,Gemini,zero_shot,BILINGUAL,diyafa,1,0,Misreading بخور after a meal as continued hospitality instead of a closing cue.,D,D,True,D,False
KM_D14,Gemini,zero_shot,BILINGUAL,diyafa,1,5,Arriving uninvited to a وليمة and being hosted without full guest honours.,C,C,True,C,False
KM_D15,Gemini,zero_shot,BILINGUAL,diyafa,1,2,Using a وليمة closing phrase for an ordinary meal.,B,B,True,B,False
KM_D17,Gemini,zero_shot,BILINGUAL,diyafa,2,0,Misreading an open door as automatic permission to enter.,C,C,True,C,False
